"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-09",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-10",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-11",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-12",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-13",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-14",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-15",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-17",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-18",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-19",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-20",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-23",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-24",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-25",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-28",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-04-30",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-05-01",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-05-02",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-05-03",,,,
